Dataset,Repeat,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall
pima,3,Random US,0.7395833333333333,0.7463283582089553,0.745262576335483,0.6733071565365316,0.4733862904828997,0.8242089552238807,0.7686567164179104,0.724,0.7686567164179104
pima,3,Cluster US,0.73828125,0.7297462686567164,0.7277824074258682,0.6510004821600771,0.448315538493908,0.8144029850746268,0.7014925373134329,0.758,0.7014925373134329
pima,3,SMOTE,0.75,0.7370149253731343,0.7356675546638487,0.6595059616642351,0.4643284549616685,0.8134776119402986,0.6940298507462687,0.78,0.6940298507462687
pima,3,Residual-Guided GMM,0.7526041666666666,0.7580597014925373,0.7577521051469229,0.6865466748017084,0.4957797133677588,0.8229253731343285,0.7761194029850746,0.74,0.7761194029850746
abalone19,1,Original GB,0.9899377096310493,0.4987928536938677,0.0,0.0,-0.0043073938283852775,0.7771834258812168,0.0,0.9975857073877354,0.0
abalone19,1,Random US,0.5701964542405367,0.6438993843553839,0.6369322390377248,0.024893213099193165,0.05065913845133733,0.6441030902945437,0.71875,0.5690487687107677,0.71875
abalone19,1,Cluster US,0.7781504551988501,0.7486796837276678,0.747916713376531,0.04733437203630944,0.10386322484345423,0.7738864075325929,0.71875,0.7786093674553356,0.71875
abalone19,1,SMOTE,0.9120747484427407,0.6301077378078224,0.5607637893518208,0.05694223635400106,0.0815091785135944,0.7773871318203767,0.34375,0.9164654756156446,0.34375
abalone19,1,Residual-Guided GMM,0.7601820795400096,0.770634657170449,0.7702674406190886,0.04758845944474687,0.1099220300902458,0.8165741187831965,0.78125,0.7600193143408981,0.78125
abalone19,2,Original GB,0.9896981312889315,0.49867213906325447,0.0,0.0,-0.004011689914837271,0.7107300217286334,0.0,0.9973442781265089,0.0
abalone19,2,Random US,0.6959750838524197,0.6297531385803959,0.6211545786281967,0.027298850574712645,0.04885806370462866,0.6035429744084984,0.5625,0.6970062771607919,0.5625
abalone19,2,Cluster US,0.7647340680402492,0.6799025229357798,0.6735103450693194,0.03932773109243698,0.07626566121141676,0.7224091622404635,0.59375,0.7660550458715596,0.59375
abalone19,2,SMOTE,0.9250119789171058,0.5901134717527765,0.4397644541834049,0.04896888166161579,0.0614491494692104,0.6968327498792855,0.25,0.9302269435055529,0.25
