Dataset,Method,Accuracy,Accuracy_Mean,Accuracy_Std,Balanced_Accuracy,Balanced_Accuracy_Mean,Balanced_Accuracy_Std,GMean,GMean_Mean,GMean_Std,F1,F1_Mean,F1_Std,MCC,MCC_Mean,MCC_Std,ROC_AUC,ROC_AUC_Mean,ROC_AUC_Std,Sensitivity,Sensitivity_Mean,Sensitivity_Std,Specificity,Specificity_Mean,Specificity_Std,Minority_Recall,Minority_Recall_Mean,Minority_Recall_Std
abalone19,Original GB,0.9896 ± 0.0004,0.9896182718415588,0.0003659619625423614,0.4986 ± 0.0002,0.49863190085305004,0.00018439464409128397,0.0000 ± 0.0000,0.0,0.0,0.0000 ± 0.0000,0.0,0.0,-0.0044 ± 0.0004,-0.004379071229764021,0.0004079701194876578,0.7566 ± 0.0398,0.7565613431514566,0.03975730143608232,0.0000 ± 0.0000,0.0,0.0,0.9973 ± 0.0004,0.9972638017061001,0.00036878928818256793,0.0000 ± 0.0000,0.0,0.0
abalone19,Random US,0.6425 ± 0.0650,0.6424692541127616,0.06495548701016952,0.6235 ± 0.0242,0.6234659182359569,0.024197631727232452,0.6170 ± 0.0222,0.61703412964809,0.02224639300246463,0.0252 ± 0.0019,0.02524813123227469,0.0018983095696295132,0.0451 ± 0.0082,0.04508096355973501,0.008151800158073761,0.6278 ± 0.0214,0.6278342789312732,0.021437141776437373,0.6042 ± 0.1005,0.6041666666666666,0.10045469542700995,0.6428 ± 0.0662,0.6427651698052471,0.06616453953476771,0.6042 ± 0.1005,0.6041666666666666,0.10045469542700995
abalone19,Cluster US,0.7671 ± 0.0100,0.7671298514614279,0.010039447455561594,0.7018 ± 0.0406,0.7017820497344278,0.04064484871848307,0.6969 ± 0.0442,0.6969356931813241,0.04419913131651837,0.0410 ± 0.0057,0.040962118021692,0.005732548577198815,0.0840 ± 0.0174,0.08396952152225212,0.017373847704786907,0.7506 ± 0.0261,0.7506186624818927,0.026091998850037105,0.6354 ± 0.0722,0.6354166666666666,0.07216878364870323,0.7681 ± 0.0096,0.768147432802189,0.009588521492745191,0.6354 ± 0.0722,0.6354166666666666,0.07216878364870323
abalone19,SMOTE,0.9174 ± 0.0068,0.9174253314167066,0.006752256771738683,0.6173 ± 0.0236,0.617299412522131,0.023556786698688437,0.5207 ± 0.0701,0.5207044406007105,0.07009728724990531,0.0548 ± 0.0051,0.054770153118360844,0.0050765984301301735,0.0755 ± 0.0122,0.07545588239697135,0.012167335745632848,0.7516 ± 0.0474,0.7515793497505232,0.04743778551201649,0.3125 ± 0.0541,0.3125,0.05412658773652741,0.9221 ± 0.0072,0.922098825044262,0.007211962563410466,0.3125 ± 0.0541,0.3125,0.05412658773652741
abalone19,Residual-Guided GMM,0.7699 ± 0.0087,0.7699249321194698,0.00865250485914826,0.7445 ± 0.0269,0.7445351480766136,0.026874862792766015,0.7343 ± 0.0412,0.7342859704229134,0.041193224709754915,0.0450 ± 0.0033,0.044993651873075385,0.003290930698458269,0.1000 ± 0.0109,0.10000548517621695,0.010864216602939554,0.8081 ± 0.0085,0.8080989457588927,0.008450136413972083,0.7188 ± 0.0625,0.71875,0.0625,0.7703 ± 0.0092,0.7703202961532272,0.00918172123655119,0.7188 ± 0.0625,0.71875,0.0625
winequality-red-4,Original GB,0.9596 ± 0.0022,0.9595590842720068,0.002195262085107404,0.5233 ± 0.0155,0.5232717707922537,0.015516127501851397,0.2058 ± 0.0773,0.20584882870794421,0.07730284351497287,0.0796 ± 0.0387,0.07960811313509492,0.038712110424926345,0.0739 ± 0.0392,0.07385673020671253,0.039161990750061215,0.7163 ± 0.0222,0.716257468036252,0.022155612668216113,0.0560 ± 0.0323,0.0560303893637227,0.03228258838330372,0.9905 ± 0.0026,0.9905131522207848,0.002614134465929712,0.0560 ± 0.0323,0.0560303893637227,0.03228258838330372
winequality-red-4,Random US,0.6735 ± 0.0278,0.67351741760534,0.02783910954851406,0.6379 ± 0.0048,0.6379343070804908,0.004797864446437303,0.6291 ± 0.0114,0.629143157067989,0.011376102484026939,0.1084 ± 0.0031,0.10843181725536566,0.0031319791961070377,0.1053 ± 0.0030,0.10525671996340819,0.0030416085452231517,0.6877 ± 0.0136,0.6876766805615446,0.01356732385323035,0.5997 ± 0.0387,0.5997150997150996,0.03866544030809106,0.6762 ± 0.0301,0.676153514445882,0.030147669359221058,0.5997 ± 0.0387,0.5997150997150996,0.03866544030809106
winequality-red-4,Cluster US,0.5856 ± 0.0345,0.5855678973717146,0.03451672546245194,0.6196 ± 0.0290,0.6196042171139196,0.028987714457679083,0.6080 ± 0.0437,0.6079918733516118,0.0436913943652527,0.0950 ± 0.0132,0.0950125522257942,0.013188806944812321,0.0876 ± 0.0225,0.08758412471867129,0.022507734836659646,0.6823 ± 0.0047,0.6822813583809703,0.0047165481692302514,0.6560 ± 0.0266,0.655982905982906,0.026611882752520556,0.5832 ± 0.0349,0.5832255282449331,0.03493084497513229,0.6560 ± 0.0266,0.655982905982906,0.026611882752520556
winequality-red-4,SMOTE,0.9016 ± 0.0036,0.9016027847309136,0.0035559917649958758,0.5790 ± 0.0355,0.5789586274170146,0.03548288554727083,0.4558 ± 0.0730,0.4558076607395454,0.0730480748022803,0.1320 ± 0.0323,0.13196342651489648,0.0323333576630881,0.1012 ± 0.0399,0.10118999699313318,0.03991122453554451,0.6915 ± 0.0135,0.6914894793290655,0.013519461970106212,0.2334 ± 0.0772,0.23338081671415004,0.07722694194881728,0.9245 ± 0.0063,0.9245364381198792,0.006282364072588792,0.2334 ± 0.0772,0.23338081671415004,0.07722694194881728
winequality-red-4,Residual-Guided GMM,0.6395 ± 0.0268,0.639543700458907,0.026775383956741575,0.6535 ± 0.0405,0.6534829643389367,0.04054860590713752,0.6454 ± 0.0491,0.6454229869164263,0.049110490323124166,0.1101 ± 0.0103,0.1100592257087832,0.010305485185090755,0.1148 ± 0.0272,0.11478406345581223,0.02724594337708028,0.7179 ± 0.0291,0.7179054116311555,0.029126459500773482,0.6683 ± 0.1030,0.6683285849952517,0.10298449115398911,0.6386 ± 0.0304,0.6386373436826219,0.030437712408546574,0.6683 ± 0.1030,0.6683285849952517,0.10298449115398911
shuttle-2_vs_5,Original GB,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0
shuttle-2_vs_5,Random US,0.9951 ± 0.0068,0.9950743868114195,0.006785841910630359,0.9975 ± 0.0034,0.9974997083060689,0.003445000053144894,0.9975 ± 0.0035,0.997485363886159,0.0034686507012654144,0.9027 ± 0.1178,0.9027009222661396,0.1177949060187861,0.9135 ± 0.1017,0.9134894455229876,0.10169326313836205,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.9950 ± 0.0069,0.994999416612138,0.006890000106289788,1.0000 ± 0.0000,1.0,0.0
shuttle-2_vs_5,Cluster US,0.9919 ± 0.0071,0.9918576598311217,0.007065967740566962,0.9959 ± 0.0036,0.9958665033680344,0.003587071192241245,0.9958 ± 0.0036,0.9958405153491537,0.003609717368434475,0.8509 ± 0.1292,0.8508793356130924,0.12922346786459485,0.8701 ± 0.1126,0.8700720568864831,0.11257968698438044,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,0.9917 ± 0.0072,0.9917330067360686,0.007174142384482518,1.0000 ± 0.0000,1.0,0.0
shuttle-2_vs_5,SMOTE,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0
shuttle-2_vs_5,Residual-Guided GMM,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0,1.0000 ± 0.0000,1.0,0.0
ecoli1,Original GB,0.8839 ± 0.0157,0.8839285714285715,0.015748519708717747,0.8400 ± 0.0199,0.8400004184581907,0.0199004396327108,0.8347 ± 0.0200,0.8346660407748273,0.020027952460636836,0.7487 ± 0.0302,0.7487184709635041,0.03023169140086194,0.6762 ± 0.0407,0.6761801426645272,0.04071106813273716,0.9410 ± 0.0005,0.940997482276552,0.0005293977480986134,0.7584 ± 0.0275,0.7584345479082323,0.027473330751060735,0.9216 ± 0.0124,0.9215662890081496,0.01236984862687012,0.7584 ± 0.0275,0.7584345479082323,0.027473330751060735
ecoli1,Random US,0.8720 ± 0.0060,0.8720238095238096,0.005952380952380931,0.8733 ± 0.0071,0.8732929521179215,0.007079468210761141,0.8717 ± 0.0080,0.871689682062486,0.00795322600693578,0.7579 ± 0.0049,0.7578569094731775,0.00488767284440907,0.6877 ± 0.0072,0.6876726725941972,0.007221232348050306,0.9061 ± 0.0146,0.9061062203810062,0.014610429759217664,0.8752 ± 0.0292,0.8751686909581645,0.029218131031863638,0.8714 ± 0.0161,0.8714172132776783,0.01608206796609556,0.8752 ± 0.0292,0.8751686909581645,0.029218131031863638
ecoli1,Cluster US,0.8651 ± 0.0304,0.865079365079365,0.030399907631040817,0.8457 ± 0.0501,0.8457348648903116,0.05006429877046835,0.8438 ± 0.0519,0.8437605894374861,0.0518879267442008,0.7355 ± 0.0606,0.7354717740642878,0.06061058335270997,0.6544 ± 0.0814,0.6543901418662048,0.08137946770636133,0.9060 ± 0.0508,0.9060065750243229,0.05077011187790961,0.8097 ± 0.0868,0.8097165991902834,0.08682522141876217,0.8818 ± 0.0145,0.8817531305903398,0.014510116047416807,0.8097 ± 0.0868,0.8097165991902834,0.08682522141876217
ecoli1,SMOTE,0.8859 ± 0.0034,0.8859126984126983,0.0034366087451763315,0.8670 ± 0.0092,0.8670074485557961,0.009179123754128191,0.8654 ± 0.0099,0.8653894961702564,0.009899010526967393,0.7690 ± 0.0086,0.7690487153728941,0.00856830850263415,0.6993 ± 0.0115,0.6992669511434664,0.011461166586124567,0.9425 ± 0.0083,0.9424569423957427,0.008298569298993027,0.8318 ± 0.0223,0.8317588843904634,0.022308914169615307,0.9023 ± 0.0059,0.9022560127211289,0.005920640432759494,0.8318 ± 0.0223,0.8317588843904634,0.022308914169615307
ecoli1,Residual-Guided GMM,0.8889 ± 0.0105,0.888888888888889,0.01045203745322694,0.8826 ± 0.0071,0.8826020776449172,0.007136574000196454,0.8817 ± 0.0063,0.8816623277329891,0.006334257503084091,0.7818 ± 0.0155,0.781792607344988,0.015495754313195059,0.7167 ± 0.0219,0.7167014317740671,0.021874962492230126,0.9546 ± 0.0066,0.9546018631850947,0.006550495397922698,0.8707 ± 0.0008,0.8706702654071075,0.0007791501608497048,0.8945 ± 0.0136,0.8945338898827271,0.01356527986634088,0.8707 ± 0.0008,0.8706702654071075,0.0007791501608497048
glass1,Original GB,0.7944 ± 0.0124,0.7943925233644861,0.012363323883479375,0.7667 ± 0.0083,0.7666857360793288,0.008259499552901516,0.7590 ± 0.0112,0.7589630359636663,0.011224012600828467,0.6979 ± 0.0108,0.6979419323438242,0.010789235132052735,0.5477 ± 0.0222,0.5477035265705962,0.022229322641653046,0.8451 ± 0.0083,0.8450928044749556,0.008326006352318845,0.6711 ± 0.0456,0.6710526315789475,0.045580284409707315,0.8623 ± 0.0403,0.8623188405797101,0.040346118571232055,0.6711 ± 0.0456,0.6710526315789475,0.045580284409707315
glass1,Random US,0.7290 ± 0.0124,0.7289719626168223,0.012363323883479417,0.7386 ± 0.0196,0.7386219171116197,0.019609146057127047,0.7372 ± 0.0181,0.7371836314965273,0.018085120551390596,0.6693 ± 0.0224,0.6693278163157682,0.02242596561143803,0.4590 ± 0.0360,0.45897344363284115,0.03600073491741734,0.8115 ± 0.0117,0.8115306381896771,0.01174950271893328,0.7719 ± 0.0532,0.7719298245614036,0.05317699847799185,0.7053 ± 0.0221,0.7053140096618358,0.022138046835535448,0.7719 ± 0.0532,0.7719298245614036,0.05317699847799185
glass1,Cluster US,0.7445 ± 0.0150,0.7445482866043612,0.015021262867590326,0.7507 ± 0.0019,0.75069921179761,0.0018643541032370358,0.7491 ± 0.0019,0.7491434974651567,0.0019435162117171659,0.6824 ± 0.0029,0.6823637233437484,0.00291441385118341,0.4846 ± 0.0074,0.4846138847118046,0.007412024772066437,0.8171 ± 0.0095,0.81709255021612,0.009454435820103932,0.7719 ± 0.0532,0.7719298245614036,0.05317699847799182,0.7295 ± 0.0524,0.7294685990338164,0.05242158071065386,0.7719 ± 0.0532,0.7719298245614036,0.05317699847799182
glass1,SMOTE,0.7773 ± 0.0338,0.7772585669781931,0.033804570738645984,0.7642 ± 0.0259,0.7642384947876938,0.02590254087238035,0.7620 ± 0.0250,0.7620123224007628,0.025041106429978255,0.6979 ± 0.0295,0.6979022770882222,0.029458137487351793,0.5246 ± 0.0577,0.5246460828274039,0.0577151531895216,0.8419 ± 0.0057,0.8419463513857107,0.005698798604934556,0.7193 ± 0.0331,0.7192982456140351,0.03311330892662608,0.8092 ± 0.0586,0.8091787439613527,0.05857176643952729,0.7193 ± 0.0331,0.7192982456140351,0.03311330892662608
glass1,Residual-Guided GMM,0.7695 ± 0.0189,0.7694704049844235,0.018885289179099905,0.7730 ± 0.0119,0.7729786422578185,0.011900062196517167,0.7723 ± 0.0122,0.7723333279515701,0.012151847860762384,0.7083 ± 0.0139,0.708314118090982,0.013872846394854055,0.5287 ± 0.0267,0.5286940632174507,0.026746598369023253,0.8518 ± 0.0072,0.851767098906687,0.007166480469140082,0.7851 ± 0.0274,0.7850877192982457,0.027390342098238547,0.7609 ± 0.0403,0.7608695652173912,0.04034611857123199,0.7851 ± 0.0274,0.7850877192982457,0.027390342098238547
