Dataset,Repeat,Fold,Method,Accuracy,Balanced_Accuracy,GMean,F1,MCC,ROC_AUC,Sensitivity,Specificity,Minority_Recall,TN,FP,FN,TP
page-blocks0,2,2,Residual-Guided GMM,0.9484649122807017,0.9538913448115403,0.9538669431235189,0.792341678939617,0.7795774887661988,0.9909238308515589,0.9607142857142857,0.9470684039087948,0.9607142857142857,2326,130,11,269
page-blocks0,3,1,Original GB,0.9714912280701754,0.9062848740268095,0.9025755804595876,0.8550185873605948,0.8399480845788843,0.9912013514164052,0.8243727598566308,0.9881969881969882,0.8243727598566308,2428,29,49,230
page-blocks0,3,1,Random US,0.9382309941520468,0.946545091706382,0.9464874696725427,0.7596017069701281,0.7468324028860119,0.9846018179351512,0.956989247311828,0.9361009361009361,0.956989247311828,2300,157,12,267
page-blocks0,3,1,Cluster US,0.8216374269005848,0.8863943702653381,0.8826536995170312,0.5252918287937743,0.5244760043518109,0.9506559416953682,0.967741935483871,0.805046805046805,0.967741935483871,1978,479,9,270
page-blocks0,3,1,SMOTE,0.9707602339181286,0.9487704648994972,0.9483682495098211,0.8653198653198653,0.8509543657286496,0.9907199530855445,0.921146953405018,0.9763939763939764,0.921146953405018,2399,58,22,257
page-blocks0,3,1,Residual-Guided GMM,0.9375,0.947726705791222,0.9476396305278891,0.7581329561527581,0.7459468572084041,0.9872684729315553,0.9605734767025089,0.9348799348799349,0.9605734767025089,2297,160,11,268
page-blocks0,3,2,Original GB,0.9740497076023392,0.925424616100512,0.9234028128447846,0.872072072072072,0.8576767837642318,0.9902047463936714,0.8642857142857143,0.9865635179153095,0.8642857142857143,2423,33,38,242
page-blocks0,3,2,Random US,0.9451754385964912,0.9362377850162866,0.9361703382825854,0.7754491017964071,0.758021568447986,0.9852402280130294,0.925,0.9474755700325733,0.925,2327,129,21,259
page-blocks0,3,2,Cluster US,0.8146929824561403,0.8746335504885994,0.8713803681104703,0.5120307988450433,0.5072308249390365,0.9515763145649139,0.95,0.7992671009771987,0.95,1963,493,14,266
page-blocks0,3,2,SMOTE,0.9623538011695907,0.9505525825965566,0.9504367612979925,0.835725677830941,0.8207216005077197,0.9899873487668683,0.9357142857142857,0.9653908794788274,0.9357142857142857,2371,85,18,262
page-blocks0,3,2,Residual-Guided GMM,0.9334795321637427,0.9344695207073057,0.9344686916590726,0.7422096317280453,0.7263931129427108,0.9863744765006981,0.9357142857142857,0.9332247557003257,0.9357142857142857,2292,164,18,262
pima,1,1,Original GB,0.7447916666666666,0.7018507462686567,0.687304924834307,0.6048387096774194,0.4211612934763028,0.8264776119402985,0.5597014925373134,0.844,0.5597014925373134,211,39,59,75
pima,1,1,Random US,0.7734375,0.7654029850746269,0.7649407351933932,0.6947368421052632,0.5179546880188921,0.8397014925373134,0.7388059701492538,0.792,0.7388059701492538,198,52,35,99
pima,1,1,Cluster US,0.75,0.7422089552238806,0.7417607129148055,0.6666666666666666,0.4711056546601862,0.8342686567164179,0.7164179104477612,0.768,0.7164179104477612,192,58,38,96
pima,1,1,SMOTE,0.7421875,0.724089552238806,0.7216068305597223,0.6425992779783394,0.4418730025891694,0.825402985074627,0.664179104477612,0.784,0.664179104477612,196,54,45,89
pima,1,1,Residual-Guided GMM,0.7630208333333334,0.7660597014925373,0.7659936479219109,0.6956521739130435,0.5123508595508227,0.8569850746268657,0.7761194029850746,0.756,0.7761194029850746,189,61,30,104
pima,1,2,Original GB,0.7473958333333334,0.7194328358208956,0.7134528193042161,0.6339622641509434,0.44122296270413647,0.8074925373134328,0.6268656716417911,0.812,0.6268656716417911,203,47,50,84
pima,1,2,Random US,0.7317708333333334,0.7420597014925373,0.7412776384819879,0.6688102893890675,0.4629169538485586,0.7917611940298507,0.7761194029850746,0.708,0.7761194029850746,177,73,30,104
pima,1,2,Cluster US,0.7317708333333334,0.7316716417910447,0.7316715681110545,0.6555183946488294,0.44612981274250363,0.8086865671641791,0.7313432835820896,0.732,0.7313432835820896,183,67,36,98
pima,1,2,SMOTE,0.7369791666666666,0.7322089552238806,0.7320386581423998,0.6552901023890785,0.44940876917325373,0.8034626865671641,0.7164179104477612,0.748,0.7164179104477612,187,63,38,96
pima,1,2,Residual-Guided GMM,0.7239583333333334,0.7481791044776119,0.7438704750036054,0.676829268292683,0.47319478192552805,0.8059701492537312,0.8283582089552238,0.668,0.8283582089552238,167,83,23,111
pima,2,1,Original GB,0.7708333333333334,0.7218507462686568,0.7034032409670751,0.6302521008403361,0.47590208532546185,0.8128955223880597,0.5597014925373134,0.884,0.5597014925373134,221,29,59,75
pima,2,1,Random US,0.7578125,0.7430149253731344,0.7413984365987325,0.6666666666666666,0.4778618887315505,0.809044776119403,0.6940298507462687,0.792,0.6940298507462687,198,52,41,93
pima,2,1,Cluster US,0.7317708333333334,0.7143582089552238,0.712028843957087,0.6308243727598566,0.4215116353004869,0.7971044776119404,0.6567164179104478,0.772,0.6567164179104478,193,57,46,88
pima,2,1,SMOTE,0.7708333333333334,0.7530149253731344,0.7507011647826118,0.6788321167883211,0.5011175458760728,0.8218507462686567,0.6940298507462687,0.812,0.6940298507462687,203,47,41,93
pima,2,1,Residual-Guided GMM,0.7630208333333334,0.7522089552238806,0.7513569813562897,0.6784452296819788,0.49338488080191545,0.8257014925373135,0.7164179104477612,0.788,0.7164179104477612,197,53,38,96
pima,2,2,Original GB,0.7473958333333334,0.7211641791044776,0.715917113521416,0.6367041198501873,0.4431028115537237,0.8114328358208955,0.6343283582089553,0.808,0.6343283582089553,202,48,49,85
pima,2,2,Random US,0.734375,0.7613731343283583,0.7561094448142501,0.6909090909090909,0.49843253700015927,0.813910447761194,0.8507462686567164,0.672,0.8507462686567164,168,82,20,114
pima,2,2,Cluster US,0.703125,0.7044776119402985,0.7044633820976204,0.625,0.3924341709595043,0.7955522388059701,0.7089552238805971,0.7,0.7089552238805971,175,75,39,95
pima,2,2,SMOTE,0.7369791666666666,0.7356716417910447,0.7356589086327618,0.6599326599326599,0.45453757167977316,0.8125373134328359,0.7313432835820896,0.74,0.7313432835820896,185,65,36,98
pima,2,2,Residual-Guided GMM,0.7057291666666666,0.7289850746268657,0.724908640666831,0.6565349544072948,0.43662778334309504,0.8118507462686567,0.8059701492537313,0.652,0.8059701492537313,163,87,26,108
pima,3,1,Original GB,0.75,0.7283582089552239,0.7248262787236388,0.6470588235294118,0.4536928453169295,0.8230746268656717,0.6567164179104478,0.8,0.6567164179104478,200,50,46,88
pima,3,1,Random US,0.7265625,0.7432537313432835,0.7411970954667578,0.670846394984326,0.46408711156837873,0.8184179104477612,0.7985074626865671,0.688,0.7985074626865671,172,78,27,107
